Visitor,PTS,Home,PTS,,,,,,,,,Visitor,PTS,Home,PTS
Atlanta Hawks,115,Milwaukee Bucks,124,,,,,,,,,ATL,115,MIL,124
Oklahoma City Thunder,102,Minnesota Timberwolves,132,,,,,,,,,OKC,102,MIN,132
Orlando Magic,108,New Orleans Pelicans,102,,,,,,,,,ORL,108,NOP,102
New York Knicks,107,Dallas Mavericks,77,,,,,,,,,NYK,107,DAL,77
Toronto Raptors,119,San Antonio Spurs,104,,,,,,,,,TOR,119,SAS,104
Denver Nuggets,106,Sacramento Kings,100,,,,,,,,,DEN,106,SAC,100
Portland Trail Blazers,85,Utah Jazz,123,,,,,,,,,PHX,85,UTA,123
Washington Wizards,109,Los Angeles Clippers,115,,,,,,,,,WAS,109,LAC,115
Brooklyn Nets,129,Philadelphia 76ers,100,,,,,,,,,BKN,129,PHI,100
Golden State Warriors,113,Denver Nuggets,102,,,,,,,,,GSW,113,DEN,102
Minnesota Timberwolves,110,Orlando Magic,118,,,,,,,,,MIN,110,ORL,118
Los Angeles Clippers,106,Atlanta Hawks,112,,,,,,,,,LAC,106,ATL,112
Detroit Pistons,103,Boston Celtics,114,,,,,,,,,DET,103,BOS,114
Dallas Mavericks,113,Houston Rockets,100,,,,,,,,,DAL,113,HOU,100
New York Knicks,114,Memphis Grizzlies,118,,,,,,,,,NYK,114,MEM,118
Cleveland Cavaliers,105,Miami Heat,117,,,,,,,,,CLE,105,MIA,117
Charlotte Hornets,142,New Orleans Pelicans,120,,,,,,,,,CHA,142,NOP,120
Utah Jazz,102,San Antonio Spurs,104,,,,,,,,,UTA,102,SAS,104
Toronto Raptors,117,Phoenix Suns,112,,,,,,,,,TOR,117,PHX,112
Washington Wizards,109,Los Angeles Lakers,122,,,,,,,,,WAS,109,LAL,122
Cleveland Cavaliers,91,Chicago Bulls,101,,,,,,,,,CLE,91,CHI,101
Minnesota Timberwolves,113,Miami Heat,104,,,,,,,,,MIN,113,MIA,104
Indiana Pacers,119,San Antonio Spurs,108,,,,,,,,,IND,119,SAS,108
Milwaukee Bucks,109,Golden State Warriors,122,,,,,,,,,MIL,109,GSW,122
Toronto Raptors,127,Denver Nuggets,115,,,,,,,,,TOR,127,DEN,115
Sacramento Kings,125,Utah Jazz,134,,,,,,,,,SAC,125,UTA,134
Washington Wizards,118,Portland Trail Blazers,127,,,,,,,,,WAS,118,PHX,127
New York Knicks,107,Brooklyn Nets,110,,,,,,,,,NYK,107,BKN,110
Los Angeles Clippers,106,Detroit Pistons,102,,,,,,,,,LAC,106,DET,102
Dallas Mavericks,95,Boston Celtics,92,,,,,,,,,DAL,95,BOS,92
Philadelphia 76ers,116,Orlando Magic,114,,,,,,,,,PHI,116,ORL,114
Indiana Pacers,128,Atlanta Hawks,131,,,,,,,,,IND,128,ATL,131
Houston Rockets,105,New Orleans Pelicans,130,,,,,,,,,HOU,105,NOP,130
Memphis Grizzlies,125,Oklahoma City Thunder,118,,,,,,,,,MEM,125,OKC,118
Los Angeles Lakers,111,Phoenix Suns,140,,,,,,,,,LAL,111,PHX,140
Los Angeles Clippers,111,Cleveland Cavaliers,120,,,,,,,,,LAC,111,CLE,120
Portland Trail Blazers,113,Atlanta Hawks,122,,,,,,,,,PHX,113,ATL,122
Denver Nuggets,114,Philadelphia 76ers,110,,,,,,,,,DEN,114,PHI,110
Charlotte Hornets,134,Oklahoma City Thunder,116,,,,,,,,,CHA,134,OKC,116
Minnesota Timberwolves,149,San Antonio Spurs,139,,,,,,,,,MIN,149,SAS,139
Washington Wizards,112,Golden State Warriors,126,,,,,,,,,WAS,112,GSW,126
Chicago Bulls,103,Sacramento Kings,112,,,,,,,,,CHI,103,SAC,112
Milwaukee Bucks,117,Utah Jazz,111,,,,,,,,,MIL,117,UTA,111
Toronto Raptors,114,Los Angeles Lakers,103,,,,,,,,,TOR,114,LAL,103
Memphis Grizzlies,135,Indiana Pacers,102,,,,,,,,,MEM,135,IND,102
Brooklyn Nets,150,Orlando Magic,108,,,,,,,,,BKN,150,ORL,108
Detroit Pistons,98,Miami Heat,105,,,,,,,,,DET,98,MIA,105
Phoenix Suns,131,New Orleans Pelicans,115,,,,,,,,,PHX,131,NOP,115
Atlanta Hawks,106,Charlotte Hornets,116,,,,,,,,,ATL,106,CHA,116
Philadelphia 76ers,118,Cleveland Cavaliers,114,,,,,,,,,PHI,118,CLE,114
Denver Nuggets,127,Washington Wizards,109,,,,,,,,,DEN,127,WAS,109
Dallas Mavericks,113,Brooklyn Nets,111,,,,,,,,,DAL,113,BKN,111
Portland Trail Blazers,98,New York Knicks,128,,,,,,,,,PHX,98,NYK,128
Phoenix Suns,129,Houston Rockets,112,,,,,,,,,PHX,129,HOU,112
Los Angeles Lakers,104,Minnesota Timberwolves,124,,,,,,,,,LAL,104,MIN,124
Oklahoma City Thunder,120,San Antonio Spurs,122,,,,,,,,,OKC,120,SAS,122
Chicago Bulls,110,Utah Jazz,125,,,,,,,,,CHI,110,UTA,125
Boston Celtics,110,Golden State Warriors,88,,,,,,,,,BOS,110,GSW,88
Milwaukee Bucks,135,Sacramento Kings,126,,,,,,,,,MIL,135,SAC,126
Toronto Raptors,103,Los Angeles Clippers,100,,,,,,,,,TOR,103,LAC,100
Detroit Pistons,134,Orlando Magic,120,,,,,,,,,DET,134,ORL,120
Dallas Mavericks,101,Philadelphia 76ers,111,,,,,,,,,DAL,101,PHI,111
Memphis Grizzlies,105,Atlanta Hawks,120,,,,,,,,,MEM,105,ATL,120
Portland Trail Blazers,123,Brooklyn Nets,128,,,,,,,,,PHX,123,BKN,128
Denver Nuggets,116,Cleveland Cavaliers,119,,,,,,,,,DEN,116,CLE,119
Washington Wizards,97,New York Knicks,100,,,,,,,,,WAS,97,NYK,100
Los Angeles Lakers,128,Toronto Raptors,123,,,,,,,,,LAL,128,TOR,123
Indiana Pacers,121,Houston Rockets,118,,,,,,,,,IND,121,HOU,118
Oklahoma City Thunder,108,Miami Heat,120,,,,,,,,,OKC,108,MIA,120
New Orleans Pelicans,124,San Antonio Spurs,91,,,,,,,,,NOP,124,SAS,91
Los Angeles Clippers,92,Utah Jazz,121,,,,,,,,,LAC,92,UTA,121
Chicago Bulls,102,Phoenix Suns,129,,,,,,,,,CHI,102,PHX,129
Boston Celtics,126,Sacramento Kings,97,,,,,,,,,BOS,126,SAC,97
Milwaukee Bucks,119,Minnesota Timberwolves,138,,,,,,,,,MIL,119,MIN,138
Dallas Mavericks,108,Charlotte Hornets,129,,,,,,,,,DAL,108,CHA,129
Detroit Pistons,109,Cleveland Cavaliers,113,,,,,,,,,DET,109,CLE,113
Los Angeles Lakers,119,Washington Wizards,127,,,,,,,,,LAL,119,WAS,127
Memphis Grizzlies,122,Houston Rockets,98,,,,,,,,,MEM,122,HOU,98
Portland Trail Blazers,98,Indiana Pacers,129,,,,,,,,,PHX,98,IND,129
New Orleans Pelicans,117,Atlanta Hawks,112,,,,,,,,,NOP,117,ATL,112
Oklahoma City Thunder,85,Orlando Magic,90,,,,,,,,,OKC,85,ORL,90
Phoenix Suns,127,Sacramento Kings,124,,,,,,,,,PHX,127,SAC,124
Utah Jazz,108,New York Knicks,93,,,,,,,,,UTA,108,NYK,93
Boston Celtics,124,Denver Nuggets,104,,,,,,,,,BOS,124,DEN,104
San Antonio Spurs,110,Golden State Warriors,108,,,,,,,,,SAS,110,GSW,108
Toronto Raptors,93,Philadelphia 76ers,88,,,,,,,,,TOR,93,PHI,88
New Orleans Pelicans,103,Charlotte Hornets,106,,,,,,,,,NOP,103,CHA,106
Los Angeles Lakers,131,Cleveland Cavaliers,120,,,,,,,,,LAL,131,CLE,120
Portland Trail Blazers,119,Detroit Pistons,115,,,,,,,,,PHX,119,DET,115
Utah Jazz,106,Brooklyn Nets,114,,,,,,,,,UTA,106,BKN,114
Miami Heat,106,Philadelphia 76ers,113,,,,,,,,,MIA,106,PHI,113
Toronto Raptors,99,Chicago Bulls,113,,,,,,,,,TOR,99,CHI,113
Washington Wizards,97,Houston Rockets,115,,,,,,,,,WAS,97,HOU,115
Boston Celtics,132,Oklahoma City Thunder,123,,,,,,,,,BOS,132,OKC,123
Minnesota Timberwolves,108,Dallas Mavericks,110,,,,,,,,,MIN,108,DAL,110
Golden State Warriors,90,Orlando Magic,94,,,,,,,,,GSW,90,ORL,94
Atlanta Hawks,117,New York Knicks,111,,,,,,,,,ATL,117,NYK,111
Chicago Bulls,98,Milwaukee Bucks,126,,,,,,,,,CHI,98,MIL,126
Los Angeles Clippers,115,Denver Nuggets,127,,,,,,,,,LAC,115,DEN,127
New York Knicks,121,Charlotte Hornets,106,,,,,,,,,NYK,121,CHA,106
Atlanta Hawks,101,Detroit Pistons,122,,,,,,,,,ATL,101,DET,122
Sacramento Kings,110,Indiana Pacers,109,,,,,,,,,SAC,110,IND,109
Utah Jazz,97,Boston Celtics,125,,,,,,,,,UTA,97,BOS,125
Brooklyn Nets,120,Memphis Grizzlies,132,,,,,,,,,BKN,120,MEM,132
Golden State Warriors,118,Miami Heat,104,,,,,,,,,GSW,118,MIA,104
Phoenix Suns,125,Minnesota Timberwolves,116,,,,,,,,,PHX,125,MIN,116
Orlando Magic,102,Oklahoma City Thunder,118,,,,,,,,,ORL,102,OKC,118
Houston Rockets,91,Dallas Mavericks,110,,,,,,,,,HOU,91,DAL,110
Philadelphia 76ers,126,Los Angeles Lakers,121,,,,,,,,,PHI,126,LAL,121
San Antonio Spurs,133,Portland Trail Blazers,96,,,,,,,,,SAS,133,PHX,96
Cleveland Cavaliers,104,Toronto Raptors,117,,,,,,,,,CLE,104,TOR,117
Indiana Pacers,103,Memphis Grizzlies,133,,,,,,,,,IND,103,MEM,133
Washington Wizards,102,Milwaukee Bucks,114,,,,,,,,,WAS,102,MIL,114
Chicago Bulls,109,New Orleans Pelicans,126,,,,,,,,,CHI,109,NOP,126
Phoenix Suns,140,Denver Nuggets,130,,,,,,,,,PHX,140,DEN,130
Utah Jazz,101,Charlotte Hornets,107,,,,,,,,,UTA,101,CHA,107
Washington Wizards,100,Detroit Pistons,97,,,,,,,,,WAS,100,DET,97
Golden State Warriors,110,Atlanta Hawks,121,,,,,,,,,GSW,110,ATL,121
New York Knicks,111,Miami Heat,103,,,,,,,,,NYK,111,MIA,103
Dallas Mavericks,95,Minnesota Timberwolves,116,,,,,,,,,DAL,95,MIN,116
Houston Rockets,125,Portland Trail Blazers,106,,,,,,,,,HOU,125,PHX,106
Philadelphia 76ers,122,Los Angeles Clippers,97,,,,,,,,,PHI,122,LAC,97
San Antonio Spurs,107,New Orleans Pelicans,103,,,,,,,,,SAS,107,NOP,103
Sacramento Kings,114,Orlando Magic,110,,,,,,,,,SAC,114,ORL,110
Indiana Pacers,91,Toronto Raptors,131,,,,,,,,,IND,91,TOR,131
Chicago Bulls,98,Cleveland Cavaliers,94,,,,,,,,,CHI,98,CLE,94
Milwaukee Bucks,102,Memphis Grizzlies,127,,,,,,,,,MIL,102,MEM,127
Brooklyn Nets,110,Miami Heat,95,,,,,,,,,BKN,110,MIA,95
Oklahoma City Thunder,107,Denver Nuggets,113,,,,,,,,,OKC,107,DEN,113
Houston Rockets,115,Portland Trail Blazers,98,,,,,,,,,HOU,115,PHX,98
New York Knicks,104,Detroit Pistons,102,,,,,,,,,NYK,104,DET,102
Minnesota Timberwolves,112,Boston Celtics,134,,,,,,,,,MIN,112,BOS,134
Philadelphia 76ers,104,Phoenix Suns,114,,,,,,,,,PHI,104,PHX,114
Golden State Warriors,115,Washington Wizards,123,,,,,,,,,GSW,115,WAS,123
Los Angeles Lakers,108,New Orleans Pelicans,116,,,,,,,,,LAL,108,NOP,116
Charlotte Hornets,119,Brooklyn Nets,110,,,,,,,,,CHA,119,BKN,110
Utah Jazz,100,Dallas Mavericks,114,,,,,,,,,UTA,100,DAL,114
Denver Nuggets,113,Charlotte Hornets,109,,,,,,,,,DEN,113,CHA,109
Orlando Magic,101,Cleveland Cavaliers,107,,,,,,,,,ORL,101,CLE,107
Atlanta Hawks,132,Indiana Pacers,123,,,,,,,,,ATL,132,IND,123
Sacramento Kings,100,Miami Heat,123,,,,,,,,,SAC,100,MIA,123
Chicago Bulls,104,New York Knicks,109,,,,,,,,,CHI,104,NYK,109
Boston Celtics,112,Toronto Raptors,115,,,,,,,,,BOS,112,TOR,115
San Antonio Spurs,123,Houston Rockets,120,,,,,,,,,SAS,123,HOU,120
Golden State Warriors,95,Memphis Grizzlies,123,,,,,,,,,GSW,95,MEM,123
Oklahoma City Thunder,134,Portland Trail Blazers,131,,,,,,,,,OKC,134,PHX,131
Milwaukee Bucks,118,Philadelphia 76ers,116,,,,,,,,,MIL,118,PHI,116
Chicago Bulls,107,Washington Wizards,94,,,,,,,,,CHI,107,WAS,94
Detroit Pistons,123,Brooklyn Nets,130,,,,,,,,,DET,123,BKN,130
Los Angeles Lakers,110,Dallas Mavericks,128,,,,,,,,,LAL,110,DAL,128
Utah Jazz,115,Los Angeles Clippers,121,,,,,,,,,UTA,115,LAC,121
Dallas Mavericks,120,Cleveland Cavaliers,112,,,,,,,,,DAL,120,CLE,112
Denver Nuggets,125,Indiana Pacers,118,,,,,,,,,DEN,125,IND,118
Orlando Magic,110,Washington Wizards,127,,,,,,,,,ORL,110,WAS,127
Miami Heat,106,Boston Celtics,98,,,,,,,,,MIA,106,BOS,98
Charlotte Hornets,125,New York Knicks,114,,,,,,,,,CHA,125,NYK,114
Minnesota Timberwolves,102,Toronto Raptors,125,,,,,,,,,MIN,102,TOR,125
Sacramento Kings,121,Houston Rockets,118,,,,,,,,,SAC,121,HOU,118
Atlanta Hawks,136,Oklahoma City Thunder,118,,,,,,,,,ATL,136,OKC,118
Memphis Grizzlies,112,San Antonio Spurs,111,,,,,,,,,MEM,112,SAS,111
Phoenix Suns,107,Golden State Warriors,103,,,,,,,,,PHX,107,GSW,103
New Orleans Pelicans,117,Portland Trail Blazers,107,,,,,,,,,NOP,117,PHX,107
Philadelphia 76ers,94,Detroit Pistons,102,,,,,,,,,PHI,94,DET,102
Cleveland Cavaliers,107,Atlanta Hawks,131,,,,,,,,,CLE,107,ATL,131
Milwaukee Bucks,120,Brooklyn Nets,119,,,,,,,,,MIL,120,BKN,119
Los Angeles Clippers,130,Chicago Bulls,135,,,,,,,,,LAC,130,CHI,135
Los Angeles Lakers,109,Utah Jazz,122,,,,,,,,,LAL,109,UTA,122
Toronto Raptors,102,Orlando Magic,89,,,,,,,,,TOR,102,ORL,89
Dallas Mavericks,103,Washington Wizards,135,,,,,,,,,DAL,103,WAS,135
Indiana Pacers,123,Boston Celtics,128,,,,,,,,,IND,123,BOS,128
Sacramento Kings,122,Houston Rockets,117,,,,,,,,,SAC,122,HOU,117
Phoenix Suns,114,Memphis Grizzlies,122,,,,,,,,,PHX,114,MEM,122
Los Angeles Clippers,153,Milwaukee Bucks,119,,,,,,,,,LAC,153,MIL,119
Detroit Pistons,110,Oklahoma City Thunder,101,,,,,,,,,DET,110,OKC,101
Portland Trail Blazers,111,San Antonio Spurs,130,,,,,,,,,PHX,111,SAS,130
Minnesota Timberwolves,136,Denver Nuggets,130,,,,,,,,,MIN,136,DEN,130
New Orleans Pelicans,114,Los Angeles Lakers,111,,,,,,,,,NOP,114,LAL,111
Charlotte Hornets,114,Philadelphia 76ers,144,,,,,,,,,CHA,114,PHI,144
Cleveland Cavaliers,119,New York Knicks,101,,,,,,,,,CLE,119,NYK,101
Brooklyn Nets,115,Atlanta Hawks,122,,,,,,,,,BKN,115,ATL,122
Miami Heat,127,Chicago Bulls,109,,,,,,,,,MIA,127,CHI,109
Utah Jazz,107,Golden State Warriors,111,,,,,,,,,UTA,107,GSW,111
Washington Wizards,102,Boston Celtics,144,,,,,,,,,WAS,102,BOS,144
Dallas Mavericks,118,Milwaukee Bucks,112,,,,,,,,,DAL,118,MIL,112
Denver Nuggets,129,Los Angeles Lakers,118,,,,,,,,,DEN,129,LAL,118
Detroit Pistons,121,Indiana Pacers,117,,,,,,,,,DET,121,IND,117
Philadelphia 76ers,112,Cleveland Cavaliers,108,,,,,,,,,PHI,112,CLE,108
New York Knicks,118,Orlando Magic,88,,,,,,,,,NYK,118,ORL,88
Minnesota Timberwolves,139,Houston Rockets,132,,,,,,,,,MIN,139,HOU,132
Phoenix Suns,96,Oklahoma City Thunder,117,,,,,,,,,PHX,96,OKC,117
Portland Trail Blazers,92,San Antonio Spurs,113,,,,,,,,,PHX,92,SAS,113
Miami Heat,114,Toronto Raptors,109,,,,,,,,,MIA,114,TOR,109
Golden State Warriors,109,Sacramento Kings,90,,,,,,,,,GSW,109,SAC,90
New Orleans Pelicans,100,Los Angeles Clippers,119,,,,,,,,,NOP,100,LAC,119
Philadelphia 76ers,131,Indiana Pacers,122,,,,,,,,,PHI,131,IND,122
Cleveland Cavaliers,115,Orlando Magic,120,,,,,,,,,CLE,115,ORL,120
Houston Rockets,105,Brooklyn Nets,118,,,,,,,,,HOU,105,BKN,118
Charlotte Hornets,115,Miami Heat,144,,,,,,,,,CHA,115,MIA,144
Atlanta Hawks,108,Toronto Raptors,118,,,,,,,,,ATL,108,TOR,118
Milwaukee Bucks,127,Chicago Bulls,106,,,,,,,,,MIL,127,CHI,106
Washington Wizards,132,Minnesota Timberwolves,114,,,,,,,,,WAS,132,MIN,114
Portland Trail Blazers,94,Oklahoma City Thunder,98,,,,,,,,,PHX,94,OKC,98
San Antonio Spurs,116,Denver Nuggets,97,,,,,,,,,SAS,116,DEN,97
Memphis Grizzlies,115,Utah Jazz,121,,,,,,,,,MEM,115,UTA,121
New Orleans Pelicans,123,Sacramento Kings,109,,,,,,,,,NOP,123,SAC,109
Los Angeles Lakers,110,Phoenix Suns,121,,,,,,,,,LAL,110,PHX,121
Dallas Mavericks,131,Detroit Pistons,113,,,,,,,,,DAL,131,DET,113
Brooklyn Nets,110,New York Knicks,98,,,,,,,,,BKN,110,NYK,98
Washington Wizards,103,Atlanta Hawks,118,,,,,,,,,WAS,103,ATL,118
Boston Celtics,117,Chicago Bulls,94,,,,,,,,,BOS,117,CHI,94
Oklahoma City Thunder,101,Utah Jazz,137,,,,,,,,,OKC,101,UTA,137
Phoenix Suns,109,Los Angeles Clippers,113,,,,,,,,,PHX,109,LAC,113
Orlando Magic,101,Charlotte Hornets,128,,,,,,,,,ORL,101,CHA,128
Boston Celtics,121,Milwaukee Bucks,127,,,,,,,,,BOS,121,MIL,127
Philadelphia 76ers,114,Toronto Raptors,119,,,,,,,,,PHI,114,TOR,119
San Antonio Spurs,121,Minnesota Timberwolves,127,,,,,,,,,SAS,121,MIN,127
Portland Trail Blazers,94,New Orleans Pelicans,127,,,,,,,,,PHX,94,NOP,127
Memphis Grizzlies,109,Denver Nuggets,122,,,,,,,,,MEM,109,DEN,122
Los Angeles Lakers,112,Golden State Warriors,128,,,,,,,,,LAL,112,GSW,128
Milwaukee Bucks,131,Detroit Pistons,101,,,,,,,,,MIL,131,DET,101
New York Knicks,114,Washington Wizards,92,,,,,,,,,NYK,114,WAS,92
Cleveland Cavaliers,107,Brooklyn Nets,118,,,,,,,,,CLE,107,BKN,118
Houston Rockets,115,Toronto Raptors,117,,,,,,,,,HOU,115,TOR,117
Charlotte Hornets,133,Chicago Bulls,117,,,,,,,,,CHA,133,CHI,117
Atlanta Hawks,109,Miami Heat,113,,,,,,,,,ATL,109,MIA,113
Portland Trail Blazers,78,Dallas Mavericks,128,,,,,,,,,PHX,78,DAL,128
Phoenix Suns,111,Utah Jazz,105,,,,,,,,,PHX,111,UTA,105
Oklahoma City Thunder,101,Los Angeles Lakers,120,,,,,,,,,OKC,101,LAL,120
Indiana Pacers,120,Philadelphia 76ers,133,,,,,,,,,IND,120,PHI,133
New Orleans Pelicans,114,Memphis Grizzlies,141,,,,,,,,,NOP,114,MEM,141
Golden State Warriors,100,San Antonio Spurs,94,,,,,,,,,GSW,100,SAS,94
Sacramento Kings,98,Los Angeles Clippers,117,,,,,,,,,SAC,98,LAC,117
Indiana Pacers,126,Brooklyn Nets,134,,,,,,,,,IND,126,BKN,134
Washington Wizards,108,Charlotte Hornets,124,,,,,,,,,WAS,108,CHA,124
Milwaukee Bucks,115,Cleveland Cavaliers,133,,,,,,,,,MIL,115,CLE,133
Atlanta Hawks,130,Houston Rockets,114,,,,,,,,,ATL,130,HOU,114
Boston Celtics,139,Memphis Grizzlies,110,,,,,,,,,BOS,139,MEM,110
Toronto Raptors,94,New York Knicks,105,,,,,,,,,TOR,94,NYK,105
Miami Heat,111,Orlando Magic,125,,,,,,,,,MIA,111,ORL,125
Detroit Pistons,106,Philadelphia 76ers,118,,,,,,,,,DET,106,PHI,118
Chicago Bulls,124,Minnesota Timberwolves,120,,,,,,,,,CHI,124,MIN,120
San Antonio Spurs,120,Dallas Mavericks,130,,,,,,,,,SAS,120,DAL,130
Los Angeles Lakers,146,Denver Nuggets,141,,,,,,,,,LAL,146,DEN,141
Oklahoma City Thunder,88,Los Angeles Clippers,138,,,,,,,,,OKC,88,LAC,138
Golden State Warriors,128,New Orleans Pelicans,107,,,,,,,,,GSW,128,NOP,107
Sacramento Kings,116,Phoenix Suns,109,,,,,,,,,SAC,116,PHX,109
Utah Jazz,111,Portland Trail Blazers,80,,,,,,,,,UTA,111,PHX,80
