Visitor,PTS,Home,PTS
MIN,108,MEM,116
LAC,89,NOP,113
OKC,130,BRK,109
PHO,108,DEN,140
ORL,116,CHO,109
TOR,87,DET,103
PHO,112,IND,94
BOS,99,PHI,111
GSW,138,CHI,96
ATL,118,MIA,124
CLE,114,SAS,109
DAL,112,MEM,85
HOU,114,SAC,126
TOR,103,MIL,96
PHO,115,WAS,110
NYK,117,ATL,108
NOP,105,BRK,120
PHI,109,MIA,98
CLE,107,OKC,102
CHI,112,BOS,114
LAC,94,SAS,101
LAL,96,DEN,133
ORL,92,DAL,108
PHO,135,DET,108
HOU,118,SAC,112
UTA,125,DEN,102
GSW,99,MIN,119
NOP,92,BOS,104
CHO,97,NYK,87
PHI,98,WAS,117
BRK,107,CLE,114
IND,133,LAC,139
CHI,106,MEM,119
MIL,114,ATL,121
PHO,98,ORL,88
TOR,99,MIA,104
OKC,102,DAL,104
PHO,121,SAS,107
UTA,95,LAL,101
MIN,112,NYK,110
DET,86,GSW,102
ORL,110,PHI,123
BRK,119,WAS,118
MIN,122,ATL,134
CHO,111,BOS,102
PHO,92,MIA,104
CLE,104,CHI,117
MEM,114,MIL,126
TOR,98,DAL,102
OKC,96,SAS,118
HOU,116,UTA,111
LAC,128,DEN,130
DET,133,SAC,131
IND,111,LAL,104
PHO,109,DAL,101
NOP,102,NYK,91
IND,121,GSW,117
OKC,98,CHO,121
LAL,116,ORL,105
LAC,102,PHI,101
MIA,108,ATL,110
PHO,109,BOS,105
CHI,90,MIL,94
TOR,109,WAS,105
BRK,117,SAS,102
MEM,122,DEN,118
DET,101,UTA,111
HOU,103,GSW,105
SAC,127,MIL,133
OKC,87,CLE,94
IND,103,PHO,113
LAC,102,NYK,110
BOS,116,WAS,87
LAL,107,MIA,113
CHI,95,ORL,114
PHO,114,TOR,105
ATL,113,CHO,91
PHI,115,SAS,109
MEM,91,DAL,104
DET,111,DEN,117
BRK,125,MIN,136
UTA,92,GSW,94
NYK,93,CLE,95
IND,113,NOP,117
CHI,111,OKC,110
UTA,109,PHO,115
DEN,110,DET,105
NOP,107,PHI,117
CHO,113,TOR,125
LAC,116,WAS,115
SAC,75,BOS,128
LAL,106,BRK,96
SAS,134,HOU,104
DAL,92,GSW,130
MIN,109,PHO,107
MIL,99,CLE,115
CHO,158,IND,126
LAC,111,ORL,102
SAC,104,ATL,121
NYK,96,MIA,110
DEN,124,BRK,118
TOR,105,CHI,111
MEM,118,SAS,110
DAL,132,PHO,112
PHO,105,UTA,97
LAL,87,PHI,105
MIN,115,GSW,124
DET,103,ORL,119
BOS,92,ATL,108
LAL,114,CHO,117
PHO,125,HOU,110
UTA,109,MEM,119
LAC,114,MIA,121
DEN,116,NOP,105
IND,113,OKC,110
CHI,122,SAS,131
MIN,124,PHO,134
NYK,108,MIL,123
IND,105,DAL,132
BOS,107,NOP,97
SAC,101,PHI,103
WAS,95,MEM,115
TOR,124,MIA,120
BRK,106,GSW,110
LAL,121,ATL,129
LAC,115,CHO,90
PHO,116,CHI,130
CLE,105,DET,115
DEN,136,MIL,100
DAL,108,ORL,110
UTA,106,MIN,126
SAS,110,PHO,115
NOP,90,CLE,93
LAC,116,IND,122
MEM,119,PHI,122
TOR,106,ATL,100
MIA,92,BOS,122
SAC,96,NYK,116
GSW,122,HOU,108
PHO,81,OKC,98
NOP,111,DET,101
WAS,98,MIL,112
MIA,106,TOR,110
ORL,115,CHI,126
DEN,115,MIN,130
GSW,124,SAS,120
BRK,111,PHO,121
ORL,119,IND,118
WAS,106,PHI,103
CHO,107,BOS,113
MEM,120,NYK,108
CLE,104,HOU,115
OKC,120,DAL,114
BRK,101,SAC,112
DEN,104,UTA,108
PHO,94,LAL,99
MIN,128,DET,117
MIA,112,SAS,95
PHO,115,ATL,124
CHI,120,TOR,127
SAC,114,GSW,126
LAL,110,LAC,111
CLE,102,CHO,101
BOS,102,DET,93
CHI,122,IND,115
ATL,114,TOR,125
HOU,106,SAS,131
NOP,113,DEN,105
BRK,102,UTA,125
PHI,98,DAL,107
OKC,96,PHO,93
MEM,135,ORL,115
MIA,104,CHO,86
PHO,95,WAS,80
NYK,115,LAL,122
MIL,137,PHO,108
OKC,103,SAC,113
PHI,119,CHI,108
BRK,104,DEN,124
DET,105,MIN,118
IND,85,CLE,98
ATL,94,DAL,103
BOS,116,ORL,83
NOP,120,HOU,107
MIL,137,LAC,113
TOR,116,CHO,101
MIA,121,WAS,100
PHO,127,CHI,124
GSW,110,OKC,98
NYK,104,UTA,113
PHO,114,PHI,109
IND,112,ATL,133
BOS,126,BRK,91
LAC,109,MEM,135
HOU,97,NOP,110
DET,86,DAL,116
NYK,115,DEN,132
MIL,131,LAL,116
ORL,113,PHO,95
MIN,134,SAC,114
SAS,92,CLE,105
CHI,121,CHO,109
TOR,117,OKC,98
LAL,105,PHO,107
MIN,119,SAC,132
GSW,85,UTA,111
MEM,132,DET,107
MIA,112,NOP,97
BRK,112,WAS,113
TOR,139,HOU,120
LAC,105,DAL,112
NYK,116,GSW,114
MIL,107,PHO,131
CHO,141,DET,119
CLE,120,IND,113
OKC,87,PHI,100
SAS,136,ATL,121
DEN,102,BOS,108
MIN,122,CHI,134
ORL,99,UTA,114
NYK,103,PHO,112
MEM,125,CHO,118
SAS,124,NOP,114
SAC,123,WAS,110
CLE,93,PHI,103
DEN,110,TOR,109
OKC,101,CHI,106
BRK,111,MIA,115
LAC,99,DAL,97
LAL,115,GSW,117
ORL,105,PHO,132
ATL,95,BOS,105
MIN,129,IND,120
DET,94,WAS,103
SAC,85,BRK,109
OKC,127,NYK,123
SAS,109,CHI,120
PHO,122,MIL,107
TOR,90,NOP,120
ORL,111,DEN,121
HOU,101,UTA,135
GSW,104,LAC,119
CLE,116,ATL,124
DAL,107,MIA,99
BOS,135,PHI,87
IND,119,MIL,128
CHO,120,MIN,126
MEM,121,NOP,109
LAC,96,PHO,103
ATL,130,ORL,109
DET,112,BOS,111
WAS,108,IND,113
BRK,111,NYK,106
SAC,118,CHI,125
PHO,123,MEM,119
TOR,103,MIN,91
SAS,114,OKC,106
HOU,121,PHO,124
DEN,117,GSW,116
UTA,101,LAL,106
MIA,111,CHO,107
WAS,117,BRK,103
DAL,125,NOP,118
PHI,123,MIL,120
HOU,111,LAC,142
CLE,103,DET,106
BOS,129,BRK,106
ATL,108,CHI,112
MEM,114,MIN,119
PHO,124,OKC,104
GSW,132,PHO,95
DEN,128,SAC,110
TOR,93,CHO,125
OKC,129,IND,125
HOU,111,ORL,119
SAS,157,WAS,153
MIA,115,NYK,100
PHI,133,MIN,102
NOP,117,PHO,102
DAL,109,UTA,114
LAC,105,LAL,102
BOS,113,DET,104
TOR,100,ATL,127
MEM,116,CHI,110
WAS,86,CLE,92
SAS,129,MIA,133
BRK,126,MIL,123
SAC,110,DEN,115
PHI,125,NYK,109
UTA,118,PHO,114
BOS,107,IND,128
DET,127,CHO,126
LAC,99,HOU,98
DAL,107,GSW,101
DEN,124,PHO,92
NOP,123,LAL,95
MIN,127,CLE,122
IND,103,ORL,119
TOR,133,BRK,97
CHI,99,MIA,112
SAS,105,MEM,118
CHO,106,MIL,130
SAC,131,OKC,110
DET,113,WAS,116
ATL,98,BOS,107
BRK,108,TOR,109
LAC,113,HOU,100
GSW,114,MIN,129
DAL,109,LAL,104
CHO,119,CLE,98
IND,122,ORL,114
NYK,108,PHI,123
UTA,132,HOU,127
MIA,119,MIL,120
SAC,95,NOP,125
OKC,119,DEN,107
PHO,90,PHO,120
CHI,124,ATL,130
MEM,107,BOS,120
MIA,113,BRK,107
DET,108,TOR,106
GSW,113,DAL,122
SAC,115,SAS,112
LAL,111,LAC,132
IND,106,DET,111
CLE,119,PHI,125
ATL,117,WAS,114
MIL,118,CHI,112
ORL,103,TOR,97
UTA,90,NOP,124
MIN,138,OKC,101
HOU,101,DEN,116
NYK,114,PHO,115
SAC,113,DAL,114
SAS,117,CHO,123
ORL,96,MEM,124
PHI,82,MIA,99
PHO,121,MIN,135
GSW,116,LAL,124
BRK,120,BOS,126
PHO,122,MIL,132
IND,123,WAS,133
MEM,112,HOU,123
UTA,116,OKC,103
TOR,96,CLE,104
NOP,130,DEN,138
NYK,116,LAC,93
ATL,110,DET,113
CHI,106,PHI,121
HOU,106,MIA,123
PHO,81,MIN,124
UTA,103,DAL,111
LAL,110,SAS,117
GSW,124,DEN,131
NYK,131,SAC,115
BRK,132,CHO,121
CLE,127,IND,124
PHO,102,ORL,99
NOP,111,MEM,132
MIL,142,OKC,115
LAC,97,GSW,112
BOS,115,CHO,101
CHI,114,DET,108
PHO,111,MIA,90
LAL,130,HOU,139
ATL,115,MIL,124
OKC,102,MIN,132
ORL,108,NOP,102
NYK,107,DAL,77
TOR,119,SAS,104
DEN,106,SAC,100
PHO,85,UTA,123
WAS,109,LAC,115
BRK,129,PHI,100
GSW,113,DEN,102
MIN,110,ORL,118
LAC,106,ATL,112
DET,103,BOS,114
DAL,113,HOU,100
NYK,114,MEM,118
CLE,105,MIA,117
CHO,142,NOP,120
UTA,102,SAS,104
TOR,117,PHO,112
WAS,109,LAL,122
CLE,91,CHI,101
MIN,113,MIA,104
IND,119,SAS,108
MIL,109,GSW,122
TOR,127,DEN,115
SAC,125,UTA,134
WAS,118,PHO,127
NYK,107,BRK,110
LAC,106,DET,102
DAL,95,BOS,92
PHI,116,ORL,114
IND,128,ATL,131
HOU,105,NOP,130
MEM,125,OKC,118
LAL,111,PHO,140
LAC,111,CLE,120
PHO,113,ATL,122
DEN,114,PHI,110
CHO,134,OKC,116
MIN,149,SAS,139
WAS,112,GSW,126
CHI,103,SAC,112
MIL,117,UTA,111
TOR,114,LAL,103
MEM,135,IND,102
BRK,150,ORL,108
DET,98,MIA,105
PHO,131,NOP,115
ATL,106,CHO,116
PHI,118,CLE,114
DEN,127,WAS,109
DAL,113,BRK,111
PHO,98,NYK,128
PHO,129,HOU,112
LAL,104,MIN,124
OKC,120,SAS,122
CHI,110,UTA,125
BOS,110,GSW,88
MIL,135,SAC,126
TOR,103,LAC,100
DET,134,ORL,120
DAL,101,PHI,111
MEM,105,ATL,120
PHO,123,BRK,128
DEN,116,CLE,119
WAS,97,NYK,100
LAL,128,TOR,123
IND,121,HOU,118
OKC,108,MIA,120
NOP,124,SAS,91
LAC,92,UTA,121
CHI,102,PHO,129
BOS,126,SAC,97
MIL,119,MIN,138
DAL,108,CHO,129
DET,109,CLE,113
LAL,119,WAS,127
MEM,122,HOU,98
PHO,98,IND,129
NOP,117,ATL,112
OKC,85,ORL,90
PHO,127,SAC,124
UTA,108,NYK,93
BOS,124,DEN,104
SAS,110,GSW,108
TOR,93,PHI,88
NOP,103,CHO,106
LAL,131,CLE,120
PHO,119,DET,115
UTA,106,BRK,114
MIA,106,PHI,113
TOR,99,CHI,113
WAS,97,HOU,115
BOS,132,OKC,123
MIN,108,DAL,110
GSW,90,ORL,94
ATL,117,NYK,111
CHI,98,MIL,126
LAC,115,DEN,127
NYK,121,CHO,106
ATL,101,DET,122
SAC,110,IND,109
UTA,97,BOS,125
BRK,120,MEM,132
GSW,118,MIA,104
PHO,125,MIN,116
ORL,102,OKC,118
HOU,91,DAL,110
PHI,126,LAL,121
SAS,133,PHO,96
CLE,104,TOR,117
IND,103,MEM,133
WAS,102,MIL,114
CHI,109,NOP,126
PHO,140,DEN,130
UTA,101,CHO,107
WAS,100,DET,97
GSW,110,ATL,121
NYK,111,MIA,103
DAL,95,MIN,116
HOU,125,PHO,106
PHI,122,LAC,97
SAS,107,NOP,103
SAC,114,ORL,110
IND,91,TOR,131
CHI,98,CLE,94
MIL,102,MEM,127
BRK,110,MIA,95
OKC,107,DEN,113
HOU,115,PHO,98
NYK,104,DET,102
MIN,112,BOS,134
PHI,104,PHO,114
GSW,115,WAS,123
LAL,108,NOP,116
CHO,119,BRK,110
UTA,100,DAL,114
DEN,113,CHO,109
ORL,101,CLE,107
ATL,132,IND,123
SAC,100,MIA,123
CHI,104,NYK,109
BOS,112,TOR,115
SAS,123,HOU,120
GSW,95,MEM,123
OKC,134,PHO,131
MIL,118,PHI,116
CHI,107,WAS,94
DET,123,BRK,130
LAL,110,DAL,128
UTA,115,LAC,121
DAL,120,CLE,112
DEN,125,IND,118
ORL,110,WAS,127
MIA,106,BOS,98
CHO,125,NYK,114
MIN,102,TOR,125
SAC,121,HOU,118
ATL,136,OKC,118
MEM,112,SAS,111
PHO,107,GSW,103
NOP,117,PHO,107
PHI,94,DET,102
CLE,107,ATL,131
MIL,120,BRK,119
LAC,130,CHI,135
LAL,109,UTA,122
TOR,102,ORL,89
DAL,103,WAS,135
IND,123,BOS,128
SAC,122,HOU,117
PHO,114,MEM,122
LAC,153,MIL,119
DET,110,OKC,101
PHO,111,SAS,130
MIN,136,DEN,130
NOP,114,LAL,111
CHO,114,PHI,144
CLE,119,NYK,101
BRK,115,ATL,122
MIA,127,CHI,109
UTA,107,GSW,111
WAS,102,BOS,144
DAL,118,MIL,112
DEN,129,LAL,118
DET,121,IND,117
PHI,112,CLE,108
NYK,118,ORL,88
MIN,139,HOU,132
PHO,96,OKC,117
PHO,92,SAS,113
MIA,114,TOR,109
GSW,109,SAC,90
NOP,100,LAC,119
PHI,131,IND,122
CLE,115,ORL,120
HOU,105,BRK,118
CHO,115,MIA,144
ATL,108,TOR,118
MIL,127,CHI,106
WAS,132,MIN,114
PHO,94,OKC,98
SAS,116,DEN,97
MEM,115,UTA,121
NOP,123,SAC,109
LAL,110,PHO,121
DAL,131,DET,113
BRK,110,NYK,98
WAS,103,ATL,118
BOS,117,CHI,94
OKC,101,UTA,137
PHO,109,LAC,113
ORL,101,CHO,128
BOS,121,MIL,127
PHI,114,TOR,119
SAS,121,MIN,127
PHO,94,NOP,127
MEM,109,DEN,122
LAL,112,GSW,128
MIL,131,DET,101
NYK,114,WAS,92
CLE,107,BRK,118
HOU,115,TOR,117
CHO,133,CHI,117
ATL,109,MIA,113
PHO,78,DAL,128
PHO,111,UTA,105
OKC,101,LAL,120
IND,120,PHI,133
NOP,114,MEM,141
GSW,100,SAS,94
SAC,98,LAC,117
IND,126,BRK,134
WAS,108,CHO,124
MIL,115,CLE,133
ATL,130,HOU,114
BOS,139,MEM,110
TOR,94,NYK,105
MIA,111,ORL,125
DET,106,PHI,118
CHI,124,MIN,120
SAS,120,DAL,130
LAL,146,DEN,141
OKC,88,LAC,138
GSW,128,NOP,107
SAC,116,PHO,109
UTA,111,PHO,80
